2.4,125358
2.401,125349
2.402,125289
2.403,125241
2.404,125219
2.405,125248
2.406,125231
2.407,125234
2.408,125206
2.409,125150
2.41,125160
2.411,125068
2.412,125127
2.413,125101
2.414,125169
2.415,125131
2.416,125083
2.417,125084
2.418,124999
2.419,125037
2.42,125101
2.421,125060
2.422,125053
2.423,125092
2.424,124986
2.425,125048
2.426,125055
2.427,125098
2.428,125086
2.429,124988
2.43,125048
2.431,125064
2.432,125067
2.433,125017
2.434,125021
2.435,125075
2.436,124934
2.437,124953
2.438,124978
2.439,124980
2.44,124979
2.441,125039
2.442,124961
2.443,124993
2.444,125056
2.445,124961
2.446,124946
2.447,124953
2.448,124936
2.449,125031
2.45,125016
2.451,124926
2.452,124924
2.453,124982
2.454,124893
2.455,124901
2.456,125020
2.457,124929
2.458,124910
2.459,124892
2.46,124960
2.461,124964
2.462,124942
2.463,124909
2.464,124977
2.465,124896
2.466,124873
2.467,124898
2.468,124915
2.469,124918
2.47,124889
2.471,124895
2.472,124940
2.473,124996
2.474,124972
2.475,124974
2.476,125041
2.477,124931
2.478,124957
2.479,124967
2.48,125007
2.481,124948
2.482,124954
2.483,124958
2.484,125012
2.485,125017
2.486,125077
2.487,125079
2.488,125031
2.489,125064
2.49,125116
2.491,125106
2.492,125108
2.493,125096
2.494,125092
2.495,125193
2.496,125204
2.497,125224
2.498,125328
2.499,125271
2.5,125297
2.501,125359
2.502,125350
2.503,125394
2.504,125403
2.505,125418
2.506,125483
2.507,125415
2.508,125462
2.509,125503
2.51,125398
2.511,125442
2.512,125491
2.513,125490
2.514,125507
2.515,125472
2.516,125460
2.517,125563
2.518,125553
2.519,125586
2.52,125492
2.521,125552
2.522,125535
2.523,125587
2.524,125577
2.525,125626
2.526,125608
2.527,125654
2.528,125713
2.529,125691
2.53,125805
2.531,125728
2.532,125775
2.533,125802
2.534,125870
2.535,125793
2.536,125852
2.537,125907
2.538,125871
2.539,125880
2.54,125857
2.541,125891
2.542,125852
2.543,125965
2.544,125894
2.545,125960
2.546,125951
2.547,125987
2.548,125916
2.549,125999
2.55,125958
2.551,125972
2.552,126017
2.553,126034
2.554,126090
2.555,126027
2.556,126048
2.557,126065
2.558,125995
2.559,126073
2.56,126090
2.561,126132
2.562,126160
2.563,126076
2.564,126128
2.565,126131
2.566,126169
2.567,126083
2.568,126142
2.569,126152
2.57,126086
2.571,126115
2.572,126064
2.573,126102
2.574,126071
2.575,126104
2.576,126196
2.577,126145
2.578,126106
2.579,126109
